股票代號,公司名稱,終止上櫃日期
8725,三采建設實業,2005-01-03,依本中心業務規則第13條之1第1項第9款規定
5385,瑩寶科技,2004-12-29,依本中心業務規則第12條第1項第4款規定
5607,遠翔空運倉儲,2004-12-02,
5525,順天建設,2004-11-26,
8724,立大農畜興業,2004-11-16,依本中心業務規則第13條之1第1項第9款規定
4106,雃博,2004-11-08,
6197,佳必琪國際,2004-11-08,
6166,凌華科技,2004-11-08,
6209,今國光學科技,2004-11-08,
6239,力成科技,2004-11-08,
8008,建興電子科技,2004-11-05,
8722,尚德興業,2004-11-01,依本中心業務規則第13條之1第1項第9款規定
6017,亞洲證券,2004-10-24,
5203,訊連科技,2004-09-27,
6192,巨路國際,2004-09-27,
6202,盛群半導體,2004-09-27,
6131,悠克電子,2004-09-27,
6201,亞弘電科技,2004-09-27,
6216,居易科技,2004-09-27,
6225,天瀚科技,2004-09-27,
4110,博登,2004-09-24,
4414,如興製衣,2004-09-06,
6116,瀚宇彩晶,2004-09-06,
6235,華孚科技,2004-08-23,
6206,飛捷科技,2004-08-03,
6401,助群營造,2004-08-03,轉列興櫃股票。
6502,國隆纖維,2004-08-03,轉列興櫃股票
8009,昱昕電子,2004-08-03,轉列興櫃股票
8010,宏廣,2004-08-03,轉列興櫃股票
8014,益和,2004-08-03,轉列興櫃股票
8011,台通光電,2004-08-03,未於93年8月3日轉列興櫃股票，終止其第二類股櫃檯買賣。
8012,台灣琭旦,2004-08-03,未於93年8月3日轉列興櫃股票，終止其第二類股櫃檯買賣。
6157,一等高科技,2004-07-26,
6115,鎰勝工業,2004-07-23,
6004,元大京華證券,2004-07-23,
5305,敦南科技,2004-07-23,
4404,百成行,2004-06-24,依本中心業務規則第12條之2第1項第4款、第14款規定(轉列管理股票)
4522,大寶精密工具,2004-05-31,主動申請下櫃
5534,長虹建設,2004-05-24,
6189,豐藝電子,2004-05-24,
6172,互億科技,2004-05-24,
6196,帆宣系統科技,2004-05-24,
5372,十美企業,2004-03-17,
8708,大中鋼鐵,2004-03-15,依本中心業務規則第13條之1第1項第9款規定
8721,尚鋒興業,2004-02-09,依本中心業務規則第13條之1第1項第9款規定
8723,順大裕,2004-01-19,依本中心業務規則第13條之1第1項第12款規定
4717,天泰,2003-11-17,主動申請下櫃
6141,柏承科技,2003-10-22,
5515,建國工程,2003-10-06,
6002,台育證券,2003-09-30,
5208,蔚華,2003-09-23,
8720,元富鋁業,2003-09-22,依本中心業務規則第13條之1第1項第9款規定
4526,東台精機,2003-09-15,
5401,第三波資訊股份有限公司,2003-09-08,依本中心業務規則第十二條之二第一項第十七款規定
8707,中精機,2003-09-03,依本中心業務規則第13條之1第1項第9款規定
8712,國產汽車,2003-09-03,依本中心業務規則第13條之1第1項第9款規定
8718,台灣工礦,2003-09-03,依本中心業務規則第13條之1第1項第9款規定
8719,宏福建設,2003-09-03,依本中心業務規則第13條之1第1項第9款規定
8710,易欣技術工程,2003-09-03,依本中心業務規則第13條之1第1項第9款規定
5702,統合開發,2003-08-27,主動申請下櫃
6133,金橋科技,2003-08-25,
5469,瀚宇博德,2003-08-25,
6168,宏齊科技,2003-08-25,
6136,富爾特,2003-08-25,
6117,迎廣,2003-08-25,
5434,崇越,2003-08-25,
6132,銳普電子,2003-08-25,
6139,亞翔工程,2003-08-25,
6145,勁永國際,2003-08-25,
5484,慧友電子,2003-08-25,
8926,台灣汽電共生,2003-08-25,
5471,松翰,2003-08-25,
5608,四維航業,2003-08-25,
6012,金鼎證券,2003-08-25,
5375,台灣慧智,2003-08-15,
6119,大傳,2003-08-04,
6165,捷泰精密,2003-08-04,
4532,瑞智精密,2003-08-04,
6112,聚碩科技,2003-08-04,
6142,友勁科技,2003-08-04,
5801,建弘投信,2003-07-31,
8002,資訊傳真,2003-07-14,依本中心業務規則第12條之3第1項第8款規定
4906,正文科技,2003-06-30,
8303,華登,2003-06-19,
6128,上福全球,2003-06-16,
5307,耀文,2003-05-22,轉列管理股票
8701,正豐化學,2003-04-28,依本中心業務規則第13條之1第1項第10款規定
8702,羽田機械,2003-04-28,依本中心業務規則第13條之1第1項第10款規定
8709,峰安金屬,2003-04-28,依本中心業務規則第13條之1第1項第10款規定
8713,延穎實業,2003-04-28,依本中心業務規則第13條之1第1項第10款規定
8714,紐新企業,2003-04-28,依本中心業務規則第13條之1第1項第10款規定
6010,台証證券,2002-12-31,
6003,大華證券,2002-11-08,
5496,德律科技,2002-10-29,
4531,巨庭機械,2002-10-29,
8007,商合行,2002-10-09,依本中心業務規則第12條之1第1項第4款規定
6006,元富證券,2002-09-16,
6011,寶來證券,2002-09-16,
6019,統一綜合證券,2002-09-16,
4516,正峰工業,2002-08-26,
4520,喬福機械工業,2002-08-26,
4718,日勝化工,2002-08-26,
4901,台灣大哥大,2002-08-26,
4902,星通資訊,2002-08-26,
5354,億聲電子,2002-08-26,
5393,揚智科技,2002-08-26,
5363,欣興電子,2002-08-26,
5404,智原科技,2002-08-26,
5421,盛達電業,2002-08-26,
5423,禾伸堂,2002-08-26,
5424,零壹科技,2002-08-26,
5447,建?,2002-08-26,
5451,奇普仕,2002-08-26,
5456,同開科技工程,2002-08-26,
5458,衛道科技,2002-08-26,
5459,文瞱科技,2002-08-26,
8939,新麗企業,2002-08-26,
4112,杏輝藥品工業,2002-08-26,
5461,增你強,2002-08-26,
5462,亞洲光學,2002-08-26,
5463,威健實業,2002-08-26,
5470,健鼎科技,2002-08-26,
5472,台灣晶技,2002-08-26,
5476,科風,2002-08-26,
5477,遠見科技,2002-08-26,
5479,宏傳電子,2002-08-26,
5482,訊舟,2002-08-26,
5485,威達電,2002-08-26,
5486,全台晶像,2002-08-26,
5495,佰鴻工業,2002-08-26,
5499,聯詠科技,2002-08-26,
5527,華固建設,2002-08-26,
5705,好樂迪,2002-08-26,
